Accident Index,Year,VehicleReferenceNumber,VehicleType,ArtTowing,Manoeuvre,VehicleLocationOffRoad,JunctionLocation,Skidding,HitObjectOnCWay,VehicleLeaveCWay,HitObjectOffCWay,FirstPointImpact,JourneyPurpose,ForeignReg,SexOfDriver,AgeBandOfDriver
1.0026E+11,2010,1,9,0,13,0,0,0,0,0,0,0,5,0,3,7
1.0026E+11,2010,2,17,0,18,0,0,0,0,0,0,0,5,0,3,7
1.0026E+11,2010,3,9,0,18,0,0,1,0,0,0,1,5,0,1,7
1.0026E+11,2010,4,9,0,18,0,0,0,0,0,0,1,5,0,1,6
1.00262E+11,2010,1,9,0,7,0,8,1,7,0,7,1,5,0,1,4
1.00263E+11,2010,1,9,0,18,0,1,0,0,0,0,4,5,0,1,11
1.00263E+11,2010,2,9,0,17,0,1,0,0,0,0,1,5,0,1,6
1.00264E+11,2010,1,9,0,18,0,0,1,0,0,0,0,5,0,1,6
1.00264E+11,2010,1,9,0,7,0,1,0,0,0,0,4,2,0,1,7
1.00264E+11,2010,2,9,0,18,0,1,0,0,0,0,1,1,0,1,7
1.00265E+11,2010,1,9,0,18,0,0,0,0,0,0,1,5,0,3,0
1.00268E+11,2010,1,9,0,3,0,1,0,0,0,0,1,1,0,1,0
1.00268E+11,2010,2,9,0,3,0,1,0,0,0,0,2,1,0,2,4
1.00268E+11,2010,1,8,0,18,0,0,1,0,0,0,1,1,0,1,10
1.00268E+11,2010,2,19,0,18,0,0,0,0,0,0,1,2,0,1,8
1.00268E+11,2010,3,9,0,18,0,0,0,0,0,0,1,5,0,1,6
1.00268E+11,2010,1,9,0,9,0,8,0,0,0,0,1,2,0,1,8
1.00268E+11,2010,2,9,0,18,0,8,0,0,0,0,1,5,0,1,10
1.00269E+11,2010,1,9,0,9,0,1,0,0,0,0,3,1,0,1,8
1.00269E+11,2010,1,9,0,18,0,1,0,0,0,0,4,5,0,2,4
1.00269E+11,2010,2,9,0,18,0,6,0,0,0,0,1,5,0,2,7
1.00269E+11,2010,3,9,0,2,0,1,0,0,0,0,1,5,0,1,7
